code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,manual_check_reason,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags
77310,1997.0,1862.64,1747.3833333333334,1670.08,1997.0,1269.5,1618.415,66.18122977346277,0.1421218187017443,0.373452544704264,0.4118062919759633,0.2888028396256856,True,True,True,True,True,True,True,False,False,5.0,5.0,5,10,yf,False,1.0,0.0,,True,,,,,,,60.78,,0.75,shares_missing,精密機器,電機・精密,ニコン,,,False,False,32.856202698256006,,,0.6764705882352942,False,False,False,False,False,False,5,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,35.59061488673139,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout; TT_not_all_pass; yield_unknown,none,,False,False,,none,,,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass; yield_unknown,info_tt_not_all_pass
87930,4385.0,4126.7,3976.866666666667,3933.575,4385.0,3305.0,3881.7,43.1715210355987,0.1243589743589743,0.1129441624365481,0.1724598930481282,0.1316129032258064,True,True,True,True,True,True,True,False,False,10.0,10.0,5,10,yf,False,0.0,0.0,,True,,,,,,,306.98,,0.75,shares_missing,その他金融業,金融（除く銀行）,ＮＥＣキャピタルソリューション,,,False,False,14.284318196625186,,,0.5,True,True,False,False,False,False,5,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield,False,-0.2394437788185746,True,3,TT_not_all_pass; yield_unknown,False,False,False,False,35.58576051779935,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield; data_missing:yield; data_missing:fcf_payout; TT_not_all_pass; yield_unknown,none,,False,False,,none,,,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass; yield_unknown,info_tt_not_all_pass
44030,3138.0,3081.54,2914.383333333333,2834.3275,3334.0,1765.0,2732.5075,52.16828478964401,0.0523138832997986,0.1375747688961393,0.3622747992185804,0.4893213099193165,True,True,True,True,True,True,True,False,False,1.0,1.0,5,10,yf,False,1.0,1.0,0.6526858957396137,False,15226000000.0,10607000000.0,10508954805.0,10607000000.0,45.0,1192.67,153.88,233532329.0,1.0,div_split_adjusted,化学,素材・化学,日油,0.01434034416826,0.0144741350034509,False,False,20.39251364699766,2.631071461510728,0.0207771452401757,0.6265060240963856,False,False,False,False,False,False,5,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass,False,-0.0670962319652613,True,3,TT_not_all_pass; yield_below_2pct,False,False,False,False,35.58414239482201,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,total,,False,False,0.01447413500345092,dps_fallback,0.014340344168260038,0.014340344168260038,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,info_tt_not_all_pass
92620,828.0,805.9,816.3533333333334,798.2,915.0,568.0,785.08,27.15210355987055,-0.0394431554524361,0.0683870967741935,0.1280653950953678,0.1468144044321329,True,True,True,False,True,True,True,False,False,2.0,2.0,5,3,yf,True,1.0,1.0,0.4963072378138848,False,519000000.0,174000000.0,174514848.0,174000000.0,16.0,639.22,64.64,10907178.0,1.0,div_split_adjusted; div_history_short,小売業,小売,シルバーライフ,0.0193236714975845,0.0192666634335876,False,False,12.80940594059406,1.2953286818309817,0.0574678064484597,0.3035714285714285,True,False,False,False,False,False,5,A_non_cut_years; E_div_yield,False,4.382181515403831,True,7,TT_not_all_pass; yield_below_2pct,False,False,False,False,35.57605177993528,A_non_cut_years; E_div_yield; TT_not_all_pass; yield_below_2pct,total,,False,False,0.01926666343358767,dps_fallback,0.01932367149758454,0.01932367149758454,A_non_cut_years; E_div_yield,TT_not_all_pass; yield_below_2pct,info_tt_not_all_pass
45230,5241.0,4681.26,4660.946666666667,4493.63,5322.0,3502.0,4402.905,49.09385113268608,0.1205901218729954,0.1070975918884664,0.3194864048338368,0.2006872852233676,True,True,True,True,True,True,True,False,False,10.0,10.0,5,10,yf,False,1.0,1.0,1.796693758383966,False,20020000000.0,45152000000.0,45138544000.0,45152000000.0,160.0,2984.93,163.76,282115900.0,1.0,,医薬品,医薬品,エーザイ,0.0305285250906315,0.0305376257792496,False,False,32.004152418172936,1.7558200694823665,0.0135401149030071,0.71875,False,False,False,False,False,False,5,D_fcf_payout; F_value_pass,False,0.1476421909890977,False,2,TT_not_all_pass,False,False,False,False,35.54692556634304,D_fcf_payout; F_value_pass; TT_not_all_pass,total,,False,False,0.030537625779249684,dps_fallback,0.03052852509063156,0.03052852509063156,D_fcf_payout; F_value_pass,TT_not_all_pass,info_tt_not_all_pass
88500,5340.0,4937.4,4865.166666666667,4725.2,5340.0,3620.0,4602.15,48.0906148867314,0.1021671826625387,0.0776992936427851,0.3104294478527607,0.3168927250308262,True,True,True,True,True,True,True,False,False,5.0,5.0,5,10,yf,False,1.0,1.0,0.5133007600434311,False,17146000000.0,6006000000.0,5780658480.0,6006000000.0,120.0,3627.61,492.15,48172154.0,1.0,div_split_adjusted,不動産業,不動産,スターツコーポレーション,0.0224719101123595,0.0233479096891452,False,False,10.85035050289546,1.4720435769004936,0.0666538893656483,0.4457831325301205,True,False,False,False,False,False,5,E_div_yield,False,-0.070950689683654,True,3,TT_not_all_pass,False,False,False,False,35.5453074433657,E_div_yield; TT_not_all_pass,total,,False,False,0.023347909689145217,dps_fallback,0.02247191011235955,0.02247191011235955,E_div_yield,TT_not_all_pass,info_tt_not_all_pass
51920,4295.0,4047.6,3829.466666666666,3742.975,4295.0,3205.0,3672.475,47.0873786407767,0.1317523056653491,0.1561238223418573,0.2167138810198301,0.0998719590268886,True,True,True,True,True,True,True,False,False,0.0,0.0,5,10,yf,False,1.0,1.0,0.8587258840669286,False,4129000000.0,5267000000.0,5235232446.0,5267000000.0,186.0,3403.14,320.25,28146411.0,1.0,div_split_adjusted,ゴム製品,自動車・輸送機,三ツ星ベルト,0.0433061699650756,0.0435689531570521,False,False,13.411397345823575,1.262069735597125,0.0341553460386307,0.4,True,False,False,False,False,False,5,A_non_cut_years; D_fcf_payout,False,-0.3596552527370138,True,3,TT_not_all_pass,False,False,False,False,35.54368932038835,A_non_cut_years; D_fcf_payout; TT_not_all_pass,total,,False,False,0.04356895315705215,dps_fallback,0.04330616996507567,0.04330616996507567,A_non_cut_years; D_fcf_payout,TT_not_all_pass,info_tt_not_all_pass
74810,2747.0,2514.48,2306.1666666666665,2242.59,2847.0,1771.0,2168.37,67.02265372168284,0.2236080178173718,0.2676511305952931,0.3944162436548224,0.3741870935467735,True,True,True,True,True,True,True,False,False,4.0,4.0,5,10,yf,False,1.0,1.0,0.2723433012333164,False,3198000000.0,845000000.0,845398440.0,845000000.0,102.0,1746.6,339.57,8288220.0,1.0,,卸売業,商社・卸売,尾家産業,0.0371314160902803,0.0371139158906974,False,False,8.089642783520334,1.5727699530516432,0.140461897063255,0.1279620853080568,True,False,False,False,False,False,5,A_non_cut_years,False,,,0,TT_not_all_pass,False,False,False,False,35.51132686084142,A_non_cut_years; TT_not_all_pass,total,,False,False,0.03711391589069748,dps_fallback,0.037131416090280304,0.037131416090280304,A_non_cut_years,TT_not_all_pass,info_tt_not_all_pass
63380,1816.0,1456.74,1510.8666666666666,1525.065,1843.0,983.0,1484.915,65.01618122977347,0.3830921553693831,0.1754045307443366,0.1784555483452303,0.2943692088382039,True,False,True,False,True,True,True,False,False,6.0,6.0,5,10,yf,False,0.5,0.5,1.2144846796657385,True,,,,,,,109.89,,1.0,shares_missing,機械,機械,タカトリ,,,False,False,16.525616525616524,,,0.4785276073619632,False,False,False,False,False,False,4,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,35.50809061488673,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; TT_not_all_pass; yield_unknown,none,,False,False,,none,,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_unknown,info_tt_not_all_pass
74120,627.0,583.4,603.12,615.89,684.0,517.0,619.805,24.01294498381877,0.1420765027322403,-0.055722891566265,-0.0263975155279503,-0.0641791044776119,True,False,False,False,True,False,True,False,False,5.0,5.0,5,10,yf,False,0.5,0.5,0.0,True,2969000000.0,0.0,0.0,0.0,0.0,26.25,2.58,193125415.0,1.0,,小売業,小売,アトム,0.0,0.0,False,False,243.02325581395348,23.88571428571429,0.0245190267108625,0.96875,False,False,False,False,False,False,3,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.5497512437810944,True,7,TT_not_all_pass; yield_below_2pct,False,False,False,False,35.506472491909385,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,total,,False,False,0.0,dps_fallback,0.0,0.0,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,info_tt_not_all_pass
