code,Name,yield_basis,effective_yield,manual_dividend_check_reason
40220,ラサ工業,dps_fallback,0.0582807187955318,yf_source_high_yield
70120,川崎重工業,dps_fallback,0.0472440944881889,yf_source_high_yield
83860,百十四銀行,dps_fallback,0.0637362637362637,high_yield_risk; yf_source_high_yield
76090,ダイトロン,dps_fallback,0.0536146662054652,yf_source_high_yield
80600,キヤノンマーケティングジャパン,dps_fallback,0.0462836918050639,yf_source_high_yield
83410,七十七銀行,dps_fallback,0.05973715651135,yf_source_high_yield
80460,丸藤シートパイル,dps_fallback,0.1394849785407725,high_yield_risk; yf_source_high_yield
62980,ワイエイシイホールディングス,dps_fallback,0.0472914875322441,yf_source_high_yield
43200,ＣＥホールディングス,dps_fallback,0.0452567449956483,yf_source_high_yield
80120,長瀬産業,dps_fallback,0.0757257046697517,high_yield_risk; yf_source_high_yield
59490,ユニプレス,dps_fallback,0.045489006823351,yf_source_high_yield
21200,ＬＩＦＵＬＬ,dps_fallback,0.0539378238341968,yf_source_high_yield
64540,マックス,dps_fallback,0.0674157303370786,high_yield_risk; yf_source_high_yield
72390,タチエス,dps_fallback,0.0502420135527589,yf_source_high_yield
79270,ムトー精工,dps_fallback,0.0481896991330953,yf_source_high_yield
83930,宮崎銀行,dps_fallback,0.0570243649559357,yf_source_high_yield
81420,トーホー,dps_fallback,0.0919793966151582,high_yield_risk; yf_source_high_yield
28050,ヱスビー食品,dps_fallback,0.0175438596491228,yield_split_mismatch
83660,滋賀銀行,dps_fallback,0.0481540930979133,yf_source_high_yield
63310,三菱化工機,dps_fallback,0.0654205607476635,high_yield_risk; yield_split_mismatch; yf_source_high_yield
73220,三十三フィナンシャルグループ,dps_fallback,0.0654022236756049,high_yield_risk; yf_source_high_yield
74660,ＳＰＫ,dps_fallback,0.0472440944881889,yf_source_high_yield
19680,太平電業,dps_fallback,0.0602617079889807,high_yield_risk; yf_source_high_yield
71810,かんぽ生命保険,dps_fallback,0.0695419592109662,high_yield_risk; yf_source_high_yield
