code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason
71340,1040.0,1082.82,1127.5733333333333,1130.115,1205.0,803.0,1124.24,12.168284789644012,-0.098786828422877,-0.08931698774080565,-0.11939034716342078,0.016617790811339184,False,False,True,False,False,False,True,False,False,2.0,2.0,5,4,yf,True,1.0,0.5,0.6176066024759285,True,-102000000.0,256000000.0,,256000000.0,32.5,582.37,99.44,7907193.0,3.0,1.0,div_split_adjusted; div_history_short,小売業,小売,アップガレージグループ,0.03125,0.031130370303829202,False,False,10.458567980691875,1.78580627436166,-0.012403506917931949,0.20982142857142858,True,False,False,False,False,False,3,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail,False,-0.3057011795543905,True,3,TT_not_all_pass,False,False,False,False,16.084142394822006,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; TT_not_all_pass
64000,280.0,298.7,290.7405000813802,285.7603750610352,328.0,200.0,278.99537506103513,29.126213592233007,-0.03448275862068961,-0.024390243902439046,0.05263157894736836,0.16666666666666674,False,True,True,True,False,True,True,False,False,3.0,3.0,5,10,yf,False,1.0,1.0,0.23529411764705882,True,,,,,,,3.33,,12.0,1.0,shares_missing,機械,機械,不二精機,,,False,False,84.08408408408408,,,0.9627329192546584,False,False,False,False,False,False,4,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,16.063106796116504,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total
44490,1126.0,1193.06,1206.7116577148438,1321.3437432861328,1878.0,946.0,1377.2287432861328,7.055016181229773,-0.030146425495262696,-0.09193548387096773,-0.3883758826724606,-0.23609226594301225,False,False,False,False,False,False,False,False,False,1.0,1.0,5,2,yf,True,0.0,0.0,,True,-5124000000.0,296000000.0,,296000000.0,10.0,257.61,-17.33,29636402.0,12.0,0.75,div_history_short,情報･通信業,情報通信・サービスその他,ギフティ,0.008880994671403197,0.00887008626328981,False,False,,4.370948332751057,-0.15354838517938169,,False,False,False,False,False,False,0,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.6181434599156119,False,4,TT_not_all_pass; yield_below_2pct,False,False,False,False,16.027508090614887,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct; data_missing:fcf_payout
65460,1133.0,1165.5,1182.8566731770834,1168.3425048828126,1219.0,1045.0,1163.6675048828124,21.003236245954692,-0.058187863674147966,-0.05504587155963303,0.03564899451553938,0.05199628597957284,False,True,True,False,False,False,True,False,False,5.0,5.0,5,9,yf,False,1.0,1.0,0.33104125736738704,False,687000000.0,171000000.0,,171000000.0,32.0,1245.44,85.31,5367650.0,12.0,1.0,,サービス業,情報通信・サービスその他,フルテック,0.02824360105913504,0.028117843592587607,False,False,13.280975266674481,0.9097186536485097,0.11296466987197477,0.376,True,False,False,False,False,False,2,E_div_yield,False,-0.3527615169254263,False,0,TT_not_all_pass,False,False,True,False,16.001618122977348,E_div_yield; TT_not_all_pass
35980,170.0,170.18,172.06666666666666,171.245,186.0,136.0,170.3,28.964401294498384,0.00591715976331364,-0.0449438202247191,0.04938271604938271,0.05590062111801242,False,True,True,False,False,False,True,False,False,3.0,3.0,5,13,yf,False,0.5,1.0,0.06988352745424292,True,,,,,,,6.35,,3.0,1.0,shares_missing,繊維製品,素材・化学,山喜,,,False,False,26.77165354330709,,,0.8823529411764706,False,False,False,False,False,False,3,A_non_cut_years; B_cfo_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,False,-0.07634543178973721,False,0,TT_not_all_pass; yield_unknown,False,False,False,False,15.982200647249192,A_non_cut_years; B_cfo_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total
21690,1833.0,1826.74,1804.0965795898437,1797.7324346923829,1856.0,1745.0,1797.3624346923827,31.81229773462783,0.015512465373961115,0.01889938854919393,0.011589403973509826,0.03384094754653133,True,True,True,True,True,False,True,False,False,0.0,0.0,5,16,yf,False,1.0,1.0,0.6075514874141876,True,,,,,,,92.08,,12.0,1.0,shares_missing; div_split_adjusted,サービス業,情報通信・サービスその他,ＣＤＳ,,,False,False,19.906602953953083,,,0.688,False,False,False,False,False,False,4,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,15.906148867313915,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total
76830,1363.0,1359.2250854492188,1339.151875813802,1345.7539068603517,1416.36669921875,1085.0,1343.9689068603516,31.779935275080906,-0.026428571428571468,0.05088666152659993,-0.002196193265007307,0.13300083125519535,True,False,True,True,True,False,True,False,False,0.0,0.0,5,5,yf,False,1.0,1.0,,True,,,,,,,,,1.0,0.75,shares_missing; div_split_adjusted,小売業,小売,ダブルエー,,,False,False,,,,,False,False,False,False,False,False,5,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,15.889967637540453,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total; data_missing:fcf_payout
99000,1780.0,1903.72,1847.7466666666667,1816.435,2024.0,1510.0,1802.135,21.650485436893206,-0.03575297941495126,-0.059196617336152224,0.03911266783420908,-0.016574585635359074,False,True,True,True,False,False,True,False,False,10.0,10.0,5,20,yf,False,1.0,0.0,,True,-450000000.0,302000000.0,,302000000.0,10.0,591.78,44.93,30283582.0,3.0,0.75,,小売業,小売,サガミホールディングス,0.0056179775280898875,0.0056024720374331744,False,False,39.61718228355219,3.0078745479739095,-0.00834805436041367,0.8080357142857143,False,False,False,False,False,False,3,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_below_2pct,False,False,False,False,15.825242718446603,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct; data_missing:fcf_payout
36830,1050.0,1259.48,1373.1985107421874,1345.3038830566406,1780.0,913.0,1341.0638830566406,3.559870550161812,-0.2027334851936219,-0.3064729194187582,-0.1428571428571429,-0.053201082055906235,False,True,True,False,False,False,False,False,False,4.0,4.0,5,12,yf,False,1.0,0.0,,True,-110000000.0,189000000.0,,189000000.0,17.0,719.97,72.95,11172675.0,12.0,0.75,div_split_adjusted,情報･通信業,情報通信・サービスその他,サイバーリンクス,0.01619047619047619,0.016110734448106654,False,False,14.393420150788211,1.4583940997541565,-0.009376617932760485,0.38095238095238093,True,False,False,False,False,False,1,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,False,1.0150338261087448,False,4,TT_not_all_pass; yield_below_2pct,False,False,False,False,15.779935275080906,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_below_2pct; data_missing:fcf_payout
53410,186.0,213.64,290.35333333333335,307.18,440.0,182.0,325.435,0.517799352750809,-0.22175732217573219,-0.5092348284960422,-0.5118110236220472,-0.5782312925170068,False,False,False,False,False,False,False,False,False,1.0,1.0,5,2,jquants,True,0.0,0.5,0.0,True,-147000000.0,0.0,,0.0,0.0,169.44,-74.55,5576438.0,11.0,1.0,div_history_short,ガラス･土石製品,建設・資材,ＡＳＡＨＩ　ＥＩＴＯホールディングス,0.0,0.0,False,False,,1.0977337110481586,-0.1417253416329853,,True,False,False,False,False,False,0,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,False,0.1994790536140655,True,5,TT_not_all_pass; yield_below_2pct,False,False,False,False,15.758899676375405,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_below_2pct
