code,Name,yield_basis,effective_yield,data_quality_flags,shares_check_reason
76350,杉田エース,dps_fallback,5.8958159328152434e-08,div_split_adjusted,yield_total_fallback_dps
36340,ソケッツ,dps_fallback,0.0031545741324921,div_split_adjusted,yield_total_fallback_dps
53330,日本碍子,dps_fallback,0.0117164616285881,,yield_total_fallback_dps
69280,エノモト,dps_fallback,0.0206095791001451,div_split_adjusted,yield_total_fallback_dps
63760,日機装,dps_fallback,0.0113895216400911,,yield_total_fallback_dps
64800,日本トムソン,dps_fallback,0.016593886462882,,yield_total_fallback_dps
40220,ラサ工業,dps_fallback,0.0563115908024401,div_split_adjusted,yield_total_fallback_dps
31030,ユニチカ,dps_fallback,0.0,div_split_adjusted; div_history_short,yield_total_fallback_dps
62780,ユニオンツール,dps_fallback,0.0066751430387794,fcf_payout_extreme:233.14,yield_total_fallback_dps
41250,三和油化工業,dps_fallback,0.0121985815602836,div_history_short,yield_total_fallback_dps
69410,山一電機,dps_fallback,0.008794466403162,,yield_total_fallback_dps
14340,ＪＥＳＣＯホールディングス,dps_fallback,0.0162271805273833,,yield_total_fallback_dps
76090,ダイトロン,dps_fallback,0.0605095541401273,div_split_adjusted; yield_split_mismatch,yield_total_fallback_dps
71160,ダイワ通信,dps_fallback,2.520953493181056e-07,div_history_short,yield_total_fallback_dps
52140,日本電気硝子,dps_fallback,0.0213310580204778,div_split_adjusted,yield_total_fallback_dps
67030,沖電気工業,dps_fallback,0.0137404580152671,div_split_adjusted,yield_total_fallback_dps
59850,サンコール,dps_fallback,0.0,,yield_total_fallback_dps
66290,テクノホライゾン,dps_fallback,0.0103004291845493,,yield_total_fallback_dps
68660,日置電機,dps_fallback,0.0178094390026714,,yield_total_fallback_dps
64030,水道機工,dps_fallback,0.0136986301369863,div_split_adjusted,yield_total_fallback_dps
59980,アドバネクス,dps_fallback,0.0109289617486338,div_split_adjusted,yield_total_fallback_dps
49710,メック,dps_fallback,0.0050448430493273,div_split_adjusted,yield_total_fallback_dps
31100,日東紡績,dps_fallback,0.0037642045454545,div_split_adjusted,yield_total_fallback_dps
77710,日本精密,dps_fallback,0.0,div_history_short,yield_total_fallback_dps
42410,アテクト,dps_fallback,0.0132100396301188,div_split_adjusted,yield_total_fallback_dps
