code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags,needs_manual_history_check,needs_manual_shares_check,shares_check_reason,manual_dividend_check_reason,history_check_reason,needs_data_fill,data_fill_reason,net_shares_source,core_pass_verified,core_buyable_now_verified
54060,2275.0,2190.81,1930.7033333333327,1852.0125,2349.5,1488.0,1786.435,65.0485436893204,0.1951667980036775,0.270949720670391,0.3935681470137826,0.3292433537832311,True,True,True,True,True,True,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.4046937853593478,False,34388000000.0,39606000000.0,39501464300.0,39606000000.0,100.0,2941.14,304.64,395014643.0,1.0,div_split_adjusted,鉄鋼,鉄鋼・非鉄,神戸製鋼所,0.04395604395604396,0.044072368145681,False,False,7.467830882352941,0.7735095915189348,0.0382659343481714,0.21875,True,False,True,False,False,False,5,,False,0.1125915591210325,False,2,TT_not_all_pass,False,False,False,False,44.0242718446602,OK,total,True,False,0.044072368145681044,fwd,0.04395604395604396,0.04395604395604396,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
74200,2014.0,1894.58,1865.48,1807.375,2014.0,1373.0,1769.055,41.87702265372168,0.0933767643865364,0.0827956989247311,0.211064341551413,0.2038254632396892,True,True,True,True,True,True,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.4772419136161147,False,1895000000.0,1278000000.0,1234434626.0,1278000000.0,86.0,2251.59,175.99,14353891.0,1.0,,卸売業,商社・卸売,佐鳥電機,0.04270109235352532,0.0442080891757206,False,False,11.44383203591113,0.8944790126088674,0.0655511181439676,0.3696682464454976,True,False,True,False,False,False,5,,False,0.771276595744681,True,7,TT_not_all_pass,False,False,False,False,47.43851132686084,OK,total,True,False,0.044208089175720645,fwd,0.04270109235352532,0.04270109235352532,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
60700,2811.0,2657.66,2483.2533333333336,2397.34,2811.0,1892.0,2334.235,51.7799352750809,0.1141498216409035,0.1712499999999999,0.352092352092352,0.1426829268292682,True,True,True,True,True,True,True,False,False,8.0,True,5,10,yf,False,1.0,1.0,0.326156665139716,False,2581000000.0,1424000000.0,1424602080.0,1424000000.0,120.0,1242.97,154.12,11871684.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,キャリアリンク,0.042689434364994665,0.0426713925166755,False,False,18.239034518556966,2.261518781627875,0.0773418989364744,0.5537848605577689,True,False,True,False,False,False,5,,False,,,0,TT_not_all_pass,False,False,False,False,32.88996763754045,OK,total,True,False,0.04267139251667553,fwd,0.042689434364994665,0.042689434364994665,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
75930,574.0,545.5,509.3133333333333,501.505,574.0,448.0,494.745,47.83171521035599,0.1299212598425196,0.1714285714285714,0.1908713692946058,0.1434262948207172,True,True,True,True,True,False,True,False,False,10.0,True,5,10,yf,False,1.0,1.0,0.3085943775100401,False,16945000000.0,2905000000.0,2904520056.0,2905000000.0,24.0,588.69,43.83,121021669.0,1.0,div_split_adjusted,小売業,小売,ＶＴホールディングス,0.041811846689895474,0.0418187556953631,False,False,13.096052931781886,0.975046289218434,0.2439307453555689,0.3125,True,False,True,False,False,False,5,,False,0.1464968152866242,True,5,TT_not_all_pass,False,False,False,False,46.91585760517799,OK,total,True,False,0.0418187556953631,fwd,0.041811846689895474,0.041811846689895474,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
48000,880.0,869.08,837.2333333333333,822.05,907.0,748.0,812.32,32.653721682847895,0.0501193317422434,0.0718635809987819,0.134020618556701,0.0731707317073171,True,True,True,True,True,False,True,False,False,10.0,True,5,10,yf,False,1.0,1.0,0.3977591036414565,False,996000000.0,470000000.0,464514300.0,470000000.0,36.0,438.44,76.42,12903175.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,オリコン,0.04090909090909091,0.0413922084363661,False,False,11.51531012823868,2.007116139038409,0.087716254473661,0.1606425702811245,True,False,True,False,False,False,4,,False,-0.0002868617326448,True,3,TT_not_all_pass,False,False,True,False,36.32686084142395,OK,total,True,False,0.04139220843636617,fwd,0.04090909090909091,0.04090909090909091,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
42480,893.0,862.0388146972656,845.3539143880208,840.7504357910157,899.0,773.0,833.5004357910157,31.197411003236247,0.0555555555555555,0.0720288115246099,0.0824242424242425,0.0890243902439025,True,True,True,True,True,False,True,False,False,6.0,True,5,10,yf,False,1.0,1.0,0.4400406504065041,False,1425000000.0,433000000.0,433688256.0,433000000.0,36.0,966.76,53.14,12046896.0,1.0,div_split_adjusted,化学,素材・化学,竹本容器,0.040313549832026875,0.0402495729035089,False,False,16.804666917576213,0.9237039182423766,0.1324610655600466,0.5120481927710844,True,False,True,False,False,False,4,,False,0.149501661129568,False,2,TT_not_all_pass,False,False,False,False,27.598705501618124,OK,total,True,False,0.04024957290350891,fwd,0.040313549832026875,0.040313549832026875,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
51840,4375.0,3808.894741210938,3698.837550455729,3647.928162841797,4375.0,3110.0,3587.553162841797,57.63754045307443,0.193724420190996,0.210235131396957,0.260806916426513,0.2358757062146892,True,True,True,True,True,True,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.4842000221754075,False,2457000000.0,2340000000.0,2318045664.0,2340000000.0,176.0,4310.51,461.82,13170714.0,1.0,div_split_adjusted,ゴム製品,自動車・輸送機,ニチリン,0.040228571428571426,0.0406095784068458,False,False,9.473387900047635,1.0149611066903916,0.0426400573271881,0.1333333333333333,True,False,True,False,False,False,5,,False,-0.0161930565181779,True,3,TT_not_all_pass,False,False,False,False,43.31877022653721,OK,total,True,False,0.04060957840684589,fwd,0.040228571428571426,0.040228571428571426,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
32760,1375.0,1293.234208984375,1273.4170922851563,1249.2078192138672,1377.0,1075.0,1233.2378192138672,37.993527508090615,0.0725429017160685,0.049618320610687,0.1782347900599827,0.2254901960784314,True,True,True,True,True,False,True,False,False,6.0,True,5,10,yf,False,1.0,1.0,0.5230940456316082,False,2522000000.0,974000000.0,964935125.0,974000000.0,55.0,532.08,103.28,17544275.0,1.0,div_split_adjusted,不動産業,不動産,ＪＰＭＣ,0.04,0.0403757713763399,False,False,13.313323005422154,2.584197864982709,0.1045458885124531,0.5421686746987951,True,False,True,False,False,False,5,,False,0.1855500821018062,False,2,TT_not_all_pass,False,False,False,False,30.996763754045308,OK,total,True,False,0.040375771376339936,fwd,0.04,0.04,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
39370,1009.0,1039.0,1067.246666666667,1050.095,1454.0,911.0,1066.25,8.155339805825243,-0.0827272727272727,-0.0785388127853881,-0.004930966469428,-0.296373779637378,False,True,False,False,False,False,False,False,False,6.0,True,5,7,yf,False,1.0,1.0,0.510548523206751,False,948000000.0,484000000.0,484929640.0,484000000.0,40.0,456.77,71.13,12123241.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,Ｕｂｉｃｏｍホールディングス,0.03964321110009911,0.0395672126217072,False,False,14.185294531140167,2.208989206821814,0.0774994164573936,0.3333333333333333,True,False,True,False,False,False,1,,False,-0.1888657648283037,True,3,TT_not_all_pass,False,False,False,False,16.07766990291262,OK,total,False,False,0.03956721262170728,fwd,0.03964321110009911,0.03964321110009911,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
39250,1521.0,1656.18,1702.513333333333,1673.8,1945.0,1203.0,1657.0,6.925566343042071,-0.1105263157894737,-0.1507537688442211,-0.0091205211726383,-0.123342939481268,False,True,True,False,False,False,True,False,False,6.0,True,5,10,yf,False,1.0,1.0,0.530396174863388,False,1856000000.0,810000000.0,810950760.0,810000000.0,60.0,472.24,131.87,13515846.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,ダブルスタンダード,0.03944773175542406,0.0394014831700675,False,False,11.534086600439826,3.220819922073522,0.0902829046464757,0.1646586345381526,True,False,True,False,False,False,3,,False,0.4409298780487806,False,3,TT_not_all_pass,False,False,False,False,15.462783171521036,OK,total,False,False,0.03940148317006755,fwd,0.03944773175542406,0.03944773175542406,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
94500,700.0,679.6592358398437,696.6934265136719,715.8100698852539,1030.0,644.936767578125,744.0900698852539,10.647249190938512,0.0279001468428781,-0.0566037735849056,-0.1161616161616161,-0.2708333333333333,False,False,False,False,True,False,False,False,False,5.0,True,5,6,yf,False,1.0,1.0,0.43017578125,False,1592000000.0,527000000.0,543277611.0,527000000.0,27.0,320.34,65.2,20121393.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,ファイバーゲート,0.03857142857142857,0.0374157565958352,False,False,10.736196319018404,2.1851782481113817,0.113028243834098,0.1365461847389558,True,False,True,False,False,False,1,,False,-0.0679738562091503,,0,TT_not_all_pass,False,False,True,False,10.823624595469257,OK,total,False,False,0.03741575659583523,fwd,0.03857142857142857,0.03857142857142857,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
51850,2015.0,1986.02,1885.5333333333333,1825.485,2116.0,1356.0,1773.985,42.265372168284784,0.1022975929978118,0.0833333333333332,0.2339252908756888,0.1390616167326173,True,True,True,True,True,True,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.4202590373091049,False,796000000.0,1208000000.0,1208954100.0,1208000000.0,75.0,2684.64,181.87,16119388.0,1.0,,ゴム製品,自動車・輸送機,フコク,0.03722084367245657,0.0371914691850811,False,False,11.079342387419585,0.7505661839203767,0.0245069614828846,0.3333333333333333,True,False,True,False,False,False,5,,False,-0.3853067196154248,False,0,TT_not_all_pass,False,False,False,False,23.632686084142392,OK,total,True,False,0.03719146918508117,fwd,0.03722084367245657,0.03722084367245657,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
24490,1109.0,1119.92,1098.16,1070.06,1206.0,870.0,1053.62,28.478964401294498,0.0183654729109274,-0.0288966725043783,0.1624737945492662,0.2160087719298244,True,True,True,True,False,False,True,False,False,10.0,True,5,10,yf,False,1.0,1.0,0.485054347826087,False,282000000.0,181000000.0,181996212.0,181000000.0,41.0,1208.2,107.45,4438932.0,1.0,,サービス業,情報通信・サービスその他,プラップジャパン,0.0369702434625789,0.0367678755134023,False,False,10.321079571893904,0.9178943883463002,0.0572847563247483,0.1872509960159362,True,False,True,False,False,False,5,,False,1.0892475209021972,False,4,TT_not_all_pass,False,False,True,False,34.239482200647245,OK,total,True,False,0.03676787551340234,fwd,0.0369702434625789,0.0369702434625789,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
48480,1687.0,1679.8401611328125,1706.0259375,1706.229453125,1821.0,1399.0,1692.134453125,17.766990291262136,-0.0035440047253396,-0.0414772727272727,-0.0304597701149424,0.15075034106412,False,False,True,False,True,False,True,False,False,10.0,True,5,10,yf,False,1.0,0.6666666666666666,0.581588093752785,False,5288000000.0,2183000000.0,2183240038.0,2183000000.0,62.0,812.65,155.99,35213549.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,フルキャストホールディングス,0.036751630112625965,0.0367475894264735,False,False,10.814795820244887,2.075924444717898,0.0890156907408117,0.2071713147410358,True,False,True,False,False,False,3,,False,-0.2539265337521637,True,3,TT_not_all_pass,False,False,True,False,25.883495145631063,OK,total,False,False,0.036747589426473534,fwd,0.036751630112625965,0.036751630112625965,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
20090,1117.0,1070.6062768554686,1043.7492154947918,1010.0069116210938,1149.0,772.0,987.3769116210938,45.27508090614887,-0.0035682426404995,0.1720881427072402,0.2383592017738358,0.4468911917098446,True,True,True,True,True,True,True,False,False,10.0,True,5,10,yf,False,1.0,1.0,0.6022877254729433,False,1530000000.0,968000000.0,954479508.0,968000000.0,41.0,1542.32,40.81,23279988.0,1.0,,食料品,食品,鳥越製粉,0.03670546105640107,0.0372254050556277,False,False,27.370742465082085,0.7242336220758339,0.0588376753461884,0.7575757575757576,True,False,True,False,False,False,5,,False,0.1572996341868971,False,2,TT_not_all_pass,False,False,False,False,33.63754045307444,OK,total,True,False,0.0372254050556277,fwd,0.03670546105640107,0.03670546105640107,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
97690,2453.0,2425.38,2353.093333333333,2324.03,2483.0,1975.0,2294.125,33.94822006472492,0.0591537132987909,0.0536941580756014,0.1134816159782114,0.2018618324350809,True,True,True,True,True,False,True,False,False,7.0,True,5,10,yf,False,1.0,1.0,0.4790732436472347,False,2136000000.0,978000000.0,978137730.0,978000000.0,90.0,674.95,171.4,10868197.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,学究社,0.036689767631471665,0.0366846014043229,False,False,14.311551925320886,3.6343432846877546,0.0801209699382759,0.3904382470119522,True,False,True,False,False,False,5,,False,-0.1268221574344024,True,3,TT_not_all_pass,False,False,False,False,29.47411003236246,OK,total,True,False,0.03668460140432298,fwd,0.036689767631471665,0.036689767631471665,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
84100,300.8999938964844,300.40800109863284,289.52000048828126,283.5035003662109,311.0,236.1,278.8295002746582,28.511326860841425,0.0433425585869777,0.0418974857911509,0.1227611712555387,-0.0163452308058699,True,True,True,True,True,False,True,False,False,10.0,True,5,10,yf,False,0.5,0.5,0.5301962551726963,True,-85583000000.0,12930000000.0,12869309266.0,12930000000.0,11.0,236.93,15.57,1169937206.0,1.0,div_split_adjusted,銀行業,銀行,セブン銀行,0.036556996421157194,0.0367293965787551,False,False,19.325625812234065,1.269995331517682,-0.2431099727300543,0.671875,True,True,False,True,False,False,5,fin_sector_excluded_from_core,False,0.0,True,4,TT_not_all_pass,False,False,True,False,34.25566343042071,fin_sector_excluded_from_core; TT_not_all_pass,total,True,False,0.03672939657875516,fwd,0.036556996421157194,0.036556996421157194,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
36820,690.0,690.58,641.3533333333334,634.53,722.0,527.0,624.33,39.32038834951456,0.0917721518987342,0.1311475409836064,0.12012987012987,0.1093247588424437,True,True,True,True,False,True,True,False,False,7.0,True,5,10,yf,False,1.0,1.0,0.5171821305841925,False,84000000.0,167000000.0,166529200.0,167000000.0,25.0,527.39,33.07,6661168.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,エンカレッジ・テクノロジ,0.036231884057971016,0.0363343163702291,False,False,20.86483217417599,1.3083296990841693,0.0182759435634685,0.7108433734939759,True,False,True,False,False,False,5,,False,-0.294260700389105,True,3,TT_not_all_pass,False,False,False,False,32.16019417475728,OK,total,True,False,0.036334316370229124,fwd,0.036231884057971016,0.036231884057971016,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
68700,2048.0,1856.50484375,1772.5483561197916,1753.6112670898438,2048.0,1667.0,1732.376267089844,52.68608414239482,0.1642978965321204,0.1941690962099125,0.2018779342723005,0.2139893301719027,True,True,True,True,True,False,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.3519624573378839,False,290000000.0,418000000.0,414953372.0,418000000.0,74.0,2422.68,198.99,5607478.0,1.0,,電気機器,電機・精密,日本フェンオール,0.0361328125,0.0363981031222949,False,False,10.291974471078948,0.8453448247395446,0.0252522725011136,0.1073446327683615,True,False,True,False,False,False,5,,False,0.1897959183673468,True,5,TT_not_all_pass,False,False,False,False,43.84304207119741,OK,total,True,False,0.036398103122294904,fwd,0.0361328125,0.0361328125,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
66580,845.0,738.96,671.7733333333333,643.42,845.0,488.0,617.915,75.27508090614887,0.282245827010622,0.396694214876033,0.5197841726618706,0.3629032258064515,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,False,1.0,1.0,0.1500266951414842,False,2448000000.0,452000000.0,452666610.0,452000000.0,30.0,657.98,137.57,15088887.0,1.0,div_split_adjusted,電気機器,電機・精密,シライ電子工業,0.03550295857988166,0.0354506758917042,False,False,6.14232754234208,1.2842335633301925,0.1919983508471064,0.0282485875706214,True,False,True,False,False,True,6,,True,-0.2494039103481163,False,0,,False,False,False,False,42.63754045307444,OK,total,True,True,0.035450675891704295,fwd,0.03550295857988166,0.03550295857988166,OK,OK,,False,False,,,,False,,yfinance_verified,True,True
