code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,manual_check_reason,core_buyable_now,satellite_buyable_now
73540,287.0,313.06,296.315199991862,283.8613999938965,352.0,192.0,275.4763999938965,24.40129449838188,-0.0711974110032362,-0.0433333333333333,0.1714285714285714,-0.0528052805280527,False,True,True,True,False,True,True,False,False,2.0,2.0,5,6,yf,False,1.0,1.0,0.1099421357180431,True,,,,,,,,,12.0,1.0,shares_missing; div_split_adjusted,サービス業,情報通信・サービスその他,ダイレクトマーケティングミックス,,,False,False,,,,,False,False,False,False,False,False,5,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,13.200647249190938,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total,none,,False,False
36590,3012.0,3644.9,3476.949153645833,3289.884365234375,4421.0,1895.0,3208.779365234375,20.355987055016183,-0.2016962629207527,-0.108348134991119,0.1638330757341577,0.4985074626865671,False,True,True,True,False,True,False,False,False,6.0,6.0,5,12,yf,False,1.0,0.5,,True,,,,,,,,,12.0,0.75,shares_missing; div_split_adjusted,情報･通信業,情報通信・サービスその他,ネクソン,,,False,False,,,,,False,False,False,False,False,False,4,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,13.177993527508091,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total; data_missing:fcf_payout,none,,False,False
39450,2464.0,2716.08,2711.08,2657.835,2956.0,1905.0,2622.71,16.34304207119741,-0.0917803169922595,-0.0563002680965147,-0.04570100697134,0.083076923076923,False,True,True,True,False,False,True,False,False,10.0,10.0,5,17,yf,True,1.0,1.0,0.1641025641025641,False,,,,,105.0,,,,3.0,1.0,shares_missing; div_split_adjusted; yield_total_fallback_dps,パルプ・紙,素材・化学,スーパーバッグ,0.0426136363636363,0.0426136363636363,False,False,,,,,False,False,False,False,False,False,4,F_value_pass,False,-0.6159919515342387,False,0,TT_not_all_pass,False,False,False,False,13.171521035598705,F_value_pass; TT_not_all_pass,dps_fallback,yield_total_fallback_dps,False,False
72010,364.6000061035156,403.8380017089844,376.08933382161456,367.714500366211,463.7999877929688,303.0,360.5280000915528,24.336569579288025,-0.0455497222421057,0.0660818891915662,0.0038546423554945,-0.1536675810039098,False,True,True,True,False,False,True,False,False,2.0,2.0,5,21,yf,False,1.0,0.0,,True,,,,,,,81.95,,3.0,0.75,shares_missing,輸送用機器,自動車・輸送機,日産自動車,,,False,False,4.4490543758818255,,,0.0476190476190476,True,False,False,False,False,False,4,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,13.168284789644012,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_unknown; data_missing:yield_total; data_missing:fcf_payout,none,,False,False
21240,867.0,974.02,1040.3616381835936,1027.6812286376953,1160.0,753.0,1023.0812286376952,6.181229773462784,-0.1942379182156134,-0.2103825136612022,-0.121580547112462,0.0960809102402022,False,True,True,False,False,False,False,False,False,2.0,2.0,5,16,yf,False,1.0,1.0,0.550714386759089,False,7512000000.0,4151000000.0,,4151000000.0,26.0,114.43,35.22,158133472.0,12.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,ジェイエイシーリクルートメント,0.0299884659746251,0.0302767900593661,False,False,24.61669505962521,7.5766844358996766,0.0547914350580482,0.812,True,False,False,False,False,False,2,A_non_cut_years,False,0.4543063773833004,False,3,TT_not_all_pass,False,False,False,False,13.090614886731393,A_non_cut_years; TT_not_all_pass,total,,False,False
67860,54.0,56.56,68.42666666666666,72.17,138.0,46.0,73.31,7.119741100323624,0.08,-0.4432989690721649,-0.2702702702702703,0.148936170212766,False,False,False,False,False,False,False,False,False,1.0,1.0,5,2,jquants,True,0.0,0.0,,True,-89000000.0,0.0,,0.0,0.0,29.58,-9.12,25321026.0,3.0,0.75,div_history_short,サービス業,情報通信・サービスその他,ＲＶＨ,0.0,0.0,False,False,,1.8255578093306288,-0.0650901013311288,,False,False,False,False,False,False,0,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,-2.543307086614173,True,3,TT_not_all_pass; yield_below_2pct,False,False,False,False,13.059870550161811,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct; data_missing:fcf_payout,total,,False,False
78710,871.0,928.8,910.1466666666666,881.48,973.0,702.0,868.975,25.08090614886732,-0.0563380281690141,-0.0257270693512304,0.0846824408468243,0.041866028708134,False,True,True,True,False,False,True,False,False,1.0,1.0,5,25,yf,False,1.0,0.5,0.2797237296497286,True,4054000000.0,516000000.0,,516000000.0,26.0,1855.35,73.8,19724142.0,3.0,1.0,,化学,素材・化学,フクビ化学工業,0.0298507462686567,0.0300354004179377,False,False,11.802168021680217,0.4694532028997224,0.235975800957984,0.2848484848484848,True,False,False,False,False,False,4,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail,False,-0.424276800907544,False,0,TT_not_all_pass,False,False,False,False,13.04045307443366,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; TT_not_all_pass,total,,False,False
34570,1069.0,1089.9,1075.746666666667,1095.905,1391.0,999.0,1120.03,21.035598705501616,0.0615690168818272,-0.0369369369369368,-0.1392914653784218,-0.1308943089430894,False,False,False,False,False,False,True,False,False,5.0,5.0,5,11,yf,False,1.0,1.0,0.1357021210713732,False,,,,,,,118.86,,6.0,1.0,shares_missing; div_split_adjusted,不動産業,不動産,Ａｎｄ　Ｄｏホールディングス,,,False,False,8.993774188120478,,,0.2619047619047619,True,False,False,False,False,False,1,E_div_yield,False,-0.9839104582021686,,0,TT_not_all_pass; yield_unknown,False,False,False,False,13.017799352750808,E_div_yield; TT_not_all_pass; yield_unknown; data_missing:yield_total,none,,False,False
21540,1760.0,1868.9,1819.8439884440104,1797.937991333008,1947.0,1547.0,1794.492991333008,20.97087378640777,-0.0173087660524846,-0.0496760259179265,-0.0028328611898017,-0.0507011866235167,False,True,True,True,False,False,True,False,False,5.0,5.0,5,16,yf,False,1.0,1.0,0.5355839817134819,False,,,,,,,126.58,,6.0,1.0,shares_missing; div_split_adjusted,サービス業,情報通信・サービスその他,オープンアップグループ,,,False,False,13.904250276504976,,,0.416,True,False,False,False,False,False,3,E_div_yield,False,-0.5217712177121772,,0,TT_not_all_pass; yield_unknown,False,False,False,False,12.985436893203884,E_div_yield; TT_not_all_pass; yield_unknown; data_missing:yield_total,none,,False,False
96850,656.0,661.98,658.26,657.04,732.0,502.0,654.65,23.915857605177997,-0.0208955223880596,-0.0238095238095238,0.0107858243451464,-0.0164917541229385,False,True,True,True,False,True,True,False,False,2.0,2.0,5,3,yf,True,1.0,1.0,0.1556016597510373,False,292000000.0,50000000.0,,50000000.0,10.0,883.76,92.28,5079442.0,3.0,1.0,div_history_short,情報･通信業,情報通信・サービスその他,ＫＹＣＯＭホールディングス,0.0152439024390243,0.0150054892240371,False,False,7.108799306458605,0.7422829727527835,0.0876320570683772,0.0515873015873015,True,False,False,False,False,False,4,A_non_cut_years; E_div_yield,False,-0.3647227533460803,,0,TT_not_all_pass; yield_below_2pct,False,False,False,False,12.957928802588995,A_non_cut_years; E_div_yield; TT_not_all_pass; yield_below_2pct,total,,False,False
47040,5381.0,5903.92,7187.533199869792,7924.619899902344,11300.0,4906.0,8401.544899902343,0.8414239482200648,-0.2432850513289269,-0.3087989723827874,-0.5238053097345132,-0.5167489896722048,False,False,False,False,False,False,False,False,False,1.0,1.0,5,23,yf,False,1.0,1.0,0.8873489846628395,False,51825000000.0,24158000000.0,,24158000000.0,184.0,890.85,259.05,131296792.0,12.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,トレンドマイクロ,0.0341943876602861,0.0341935246439191,False,False,20.77205172746574,6.040298591233092,0.0733537302206768,0.7301587301587301,True,False,False,False,False,False,0,A_non_cut_years; D_fcf_payout,False,0.0321442966545748,True,4,TT_not_all_pass,False,False,False,False,12.920711974110032,A_non_cut_years; D_fcf_payout; TT_not_all_pass,total,,False,False
80770,225.0,229.9,247.78666666666663,247.095,277.0,211.0,248.535,9.741100323624597,-0.1035856573705179,-0.1379310344827586,-0.0816326530612244,-0.1245136186770428,False,True,False,False,False,False,True,False,False,10.0,10.0,5,23,yf,False,0.5,1.0,0.1447095435684647,False,1870000000.0,135000000.0,,135000000.0,6.0,632.81,39.9,22570325.0,10.0,1.0,,卸売業,商社・卸売,トルク,0.0266666666666666,0.0265835782160868,False,False,5.639097744360902,0.3555569602250281,0.3682317871413509,0.0518867924528301,True,False,False,False,False,False,1,B_cfo_pos_ratio; E_div_yield,False,0.09375,False,1,TT_not_all_pass,False,False,False,False,12.870550161812297,B_cfo_pos_ratio; E_div_yield; TT_not_all_pass,total,,False,False
35290,1030.0,1146.34,1151.8266666666666,1162.67,1269.0,839.0,1158.05,7.73462783171521,-0.17135961383749,-0.0811775200713648,-0.1666666666666666,-0.0533088235294118,False,False,True,False,False,False,True,False,False,0.0,0.0,5,18,yf,False,0.5,0.5,0.0,True,1134000000.0,0.0,,0.0,0.0,1976.74,-23.49,16017571.0,3.0,1.0,div_split_adjusted,繊維製品,素材・化学,アツギ,0.0,0.0,False,False,,0.5210599269504336,0.0687351954791652,,True,False,False,False,False,False,3,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,False,-2.1884368308351174,True,3,TT_not_all_pass; yield_below_2pct,False,False,False,False,12.867313915857604,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_below_2pct,total,,False,False
78040,2411.0,2552.38,2549.593333333333,2483.615,2891.0,1901.0,2432.23,20.711974110032365,-0.0808234845596644,-0.067311411992263,0.015157894736842,0.2061030515257629,False,True,True,True,False,False,True,False,False,5.0,5.0,5,7,yf,True,1.0,1.0,,True,,,,,77.0,,,,10.0,0.75,shares_missing; yield_total_fallback_dps,その他製品,情報通信・サービスその他,ビーアンドピー,0.0319369556200746,0.0319369556200746,False,False,,,,,False,False,False,False,False,False,4,D_fcf_payout; D_fcf_hard_fail; F_value_pass,False,,,0,TT_not_all_pass,False,False,False,False,12.855987055016184,D_fcf_payout; D_fcf_hard_fail; F_value_pass; TT_not_all_pass; data_missing:fcf_payout,dps_fallback,yield_total_fallback_dps,False,False
94180,1748.0,1871.3275854492188,2006.387779134115,2046.380834350586,2315.0,1651.0,2072.096364746094,7.605177993527508,-0.0989690721649484,-0.1608257321171388,-0.2119026149684399,-0.0223713646532438,False,False,False,False,False,False,True,False,False,0.0,0.0,5,10,yf,False,1.0,1.0,0.8341769942398324,False,493000000.0,2795000000.0,,2795000000.0,15.5,540.94,101.99,180374910.0,8.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,Ｕ−ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,0.0088672768878718,0.0088647043633521,False,False,17.138935189724485,3.231411986541945,0.0015636133277755,0.5753968253968254,False,False,False,False,False,False,1,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass,False,-0.6007281553398058,True,3,TT_not_all_pass; yield_below_2pct,False,False,False,False,12.802588996763754,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,total,,False,False
37720,1053.0,1065.44,1071.0866666666666,1059.15,1141.0,860.0,1055.4,23.59223300970874,-0.022284122562674,-0.0530575539568345,0.0144508670520231,0.0519480519480519,False,True,True,False,False,False,True,False,False,2.0,2.0,5,12,yf,False,0.5,0.5,0.113342461585273,True,-6930000000.0,383000000.0,,383000000.0,20.0,1011.42,57.56,19178522.0,3.0,1.0,div_split_adjusted,不動産業,不動産,ウェルス・マネジメント,0.0189933523266856,0.0189651057081473,False,False,18.293954134815845,1.041110517885745,-0.3431545236487244,0.75,True,False,False,False,False,False,4,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,False,-1.8777996070726912,False,0,TT_not_all_pass; yield_below_2pct,False,False,False,False,12.79611650485437,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_below_2pct,total,,False,False
24880,1198.0,1298.08,1437.18,1404.97,1619.0,988.0,1399.825,7.572815533980583,-0.1692094313453537,-0.2180156657963446,-0.0049833887043189,0.0084175084175084,False,True,True,False,False,False,False,False,False,0.0,0.0,5,17,yf,False,1.0,1.0,0.3779322328410078,False,706000000.0,232000000.0,,232000000.0,41.0,643.88,99.28,5676868.0,3.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,ＪＴＰ,0.0342237061769616,0.0341131929594185,False,False,12.066881547139404,1.8605951419519164,0.1038099751265065,0.312,True,False,False,False,False,False,3,A_non_cut_years,False,0.3146940822467401,False,3,TT_not_all_pass,False,False,False,False,12.78640776699029,A_non_cut_years; TT_not_all_pass,total,,False,False
74940,245.0,248.68,251.24666666666667,248.745,271.0,201.0,247.015,25.533980582524272,0.0123966942148761,-0.0754716981132075,0.0337552742616034,0.0425531914893617,False,True,True,False,False,False,True,False,False,0.0,0.0,5,21,yf,False,0.5,1.0,0.1493997332147621,True,,,,,,,14.23,,9.0,1.0,shares_missing; div_split_adjusted,小売業,小売,コナカ,,,False,False,17.217146872803934,,,0.5133928571428571,False,False,False,False,False,False,3,A_non_cut_years; B_cfo_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,12.766990291262136,A_non_cut_years; B_cfo_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total,none,,False,False
82730,996.0,992.2949755859376,1019.98871883138,1035.624039123535,1151.0,944.0,1043.713492980957,19.48220064724919,0.0218528778085564,-0.0839694656488548,-0.0843063344672244,-0.0327279790230164,False,False,False,False,True,False,True,False,False,0.0,0.0,5,26,yf,True,1.0,0.5,1.8785211267605637,True,-51354000000.0,6439000000.0,,6439000000.0,90.0,3990.31,166.6,71554035.0,2.0,1.0,div_split_adjusted,小売業,小売,イズミ,0.0903614457831325,0.0903493344260879,False,True,5.978391356542617,0.2496046673065501,-0.7205776859943038,0.0267857142857142,True,False,False,False,False,False,1,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,False,,,0,TT_not_all_pass,False,False,False,False,12.741100323624597,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; TT_not_all_pass,total,high_yield_risk; yf_source_high_yield,False,False
88480,652.0,695.08,687.92,677.52,786.0,507.0,663.9,24.466019417475728,0.0108527131782945,-0.1043956043956043,0.0124223602484472,0.1222030981067126,False,True,True,True,False,False,True,False,False,1.0,1.0,5,11,yf,False,1.0,1.0,0.1280094880411148,True,,,,,,,,,3.0,1.0,shares_missing,不動産業,不動産,レオパレス２１,,,False,False,,,,,False,False,False,False,False,False,4,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,False,,,0,TT_not_all_pass; yield_unknown,False,False,False,False,12.733009708737864,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total,none,,False,False
98280,2902.0,3027.54,3170.84,3377.53,4215.0,2836.0,3444.915,7.443365695792881,-0.059319286871961,-0.161271676300578,-0.2442708333333333,-0.1375928677563149,False,False,False,False,False,False,False,False,False,0.0,0.0,5,23,yf,True,1.0,1.0,0.2464606181455633,True,,,,,70.0,,,,3.0,1.0,shares_missing; div_split_adjusted; yield_total_fallback_dps,小売業,小売,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,0.0241212956581667,0.0241212956581667,False,False,,,,,False,False,False,False,False,False,1,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,False,-0.4131279830733651,True,3,TT_not_all_pass,False,False,False,False,12.72168284789644,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass,dps_fallback,yield_total_fallback_dps,False,False
90390,2712.0,2897.52,2879.866666666667,2815.27,3085.0,2320.0,2780.275,24.3042071197411,-0.0386387805742644,-0.08130081300813,0.0652003142183816,0.135678391959799,False,True,True,True,False,False,True,False,False,1.0,1.0,5,19,yf,False,1.0,1.0,1.2668509135575003,False,1823000000.0,3943000000.0,,3943000000.0,97.0,2359.74,215.58,40659728.0,3.0,1.0,div_split_adjusted,陸運業,運輸・物流,サカイ引越センター,0.0357669616519174,0.0357579508296826,False,False,12.58001669913721,1.1492791578733252,0.0165322709516894,0.375,True,False,False,False,False,False,3,A_non_cut_years; D_fcf_payout,False,-0.0518817204301074,False,0,TT_not_all_pass,False,False,False,False,12.65210355987055,A_non_cut_years; D_fcf_payout; TT_not_all_pass,total,,False,False
