code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,manual_check_reason,core_buyable_now,satellite_buyable_now
65050,2319.0,2265.5,2088.5066666666667,1989.905,2497.0,1102.0,1888.7,83.6945972177289,0.1246362754607177,0.2046753246753245,0.6239495798319328,0.675578034682081,True,True,True,True,True,True,True,True,True,6.0,6.0,5,22,yf,False,1.0,1.0,0.529243119266055,False,311000000.0,644000000.0,,644000000.0,70.0,3028.72,231.29,9041854.0,5.0,1.0,div_split_adjusted,電気機器,電機・精密,東洋電機製造,0.0301854247520482,0.0307133810962712,False,False,10.026373816420945,0.7656699860006868,0.0148320831070502,0.1363636363636363,True,False,True,False,False,True,6,,True,3.935762224352828,True,7,,False,False,False,False,65.84729860886445,OK,total,,True,True
64540,1673.0,1545.6978442382813,1532.278125,1460.48709375,1752.5,937.5,1416.4599624023438,74.31252021999353,-0.0144329896907215,0.2035971223021582,0.4675438596491228,0.5106094808126411,True,True,True,True,True,True,True,True,True,10.0,10.0,5,26,yf,True,1.0,1.0,0.4936252023745278,False,12838000000.0,5239000000.0,,5239000000.0,114.0,2304.19,241.81,45962828.0,3.0,1.0,div_split_adjusted,機械,機械,マックス,0.0681410639569635,0.0681311493466919,False,True,6.918655142467227,0.7260685967737035,0.1669531771927527,0.0628930817610062,True,False,True,False,False,True,6,,True,0.359324347380993,True,6,,False,False,False,False,63.156260109996765,OK,total,high_yield_risk; yf_source_high_yield,True,True
80600,3472.0,3443.61,3276.2833333333333,3131.315,3599.0,2279.5,3050.5475,65.77159495308962,-0.0028719126938541,0.1466314398943196,0.2871177015755328,0.3631723596387908,True,True,True,True,True,True,True,False,False,5.0,5.0,5,25,yf,False,1.0,1.0,0.2264132285110861,False,123402000000.0,16493000000.0,,16493000000.0,140.0,3514.6,319.79,108907456.0,12.0,1.0,div_split_adjusted,卸売業,商社・卸売,キヤノンマーケティングジャパン,0.0403225806451612,0.0436176566132733,False,False,10.857124988273554,0.9878791327604848,0.3263509404833057,0.419811320754717,True,False,True,False,False,False,5,,False,2.0979107429843,True,7,TT_not_all_pass,False,False,False,False,59.38579747654481,TT_not_all_pass,total,,True,False
69890,2783.0,2782.5394921875,2544.786630859375,2447.6449731445314,2933.468994140625,1340.0,2380.747746582031,72.20964089291492,-0.0419965576592082,0.2731015553522415,0.2232967032967032,0.7200247218788627,True,True,True,True,True,True,True,True,True,10.0,10.0,5,22,yf,False,1.0,1.0,0.1867909867909868,False,2653000000.0,713000000.0,,713000000.0,90.0,2863.49,270.78,7932119.0,3.0,1.0,div_split_adjusted,電気機器,電機・精密,北陸電気工業,0.0323392022996766,0.0322988531951472,False,False,10.27771622719551,0.9718909442673104,0.1201807258439349,0.1477272727272727,True,False,True,False,False,True,6,,True,0.4023445677203263,True,6,,False,False,False,False,59.10482044645746,OK,total,,True,True
13810,3735.0,3884.5,3686.9,3514.68,4490.0,2581.0,3457.975,61.53348430928502,-0.065081351689612,0.2106969205834683,0.2166123778501629,0.3225920679886684,True,True,True,True,False,True,True,False,False,10.0,10.0,5,22,yf,False,1.0,1.0,0.4316441851986876,False,1196000000.0,631000000.0,,631000000.0,112.5,3846.61,306.43,5615715.0,6.0,1.0,,水産・農林業,食品,アクシーズ,0.0301204819277108,0.0300838693580988,False,False,12.188754364781516,0.970984841197834,0.0570210899402316,0.4,True,False,True,False,False,False,5,,False,0.6887045620883141,True,7,TT_not_all_pass,False,False,False,False,56.76674215464252,TT_not_all_pass,total,,True,False
51870,1175.0,1147.74,1061.0733333333333,1036.02,1224.0,894.0,1016.81,69.88029763830475,0.1158594491927824,0.1497064579256359,0.2368421052631579,0.25,True,True,True,True,True,True,True,False,False,10.0,10.0,5,22,yf,False,1.0,1.0,0.2361597757533286,False,2519000000.0,338000000.0,,338000000.0,39.0,1833.67,95.41,8589703.0,12.0,1.0,,精密機器,電機・精密,クリエートメディック,0.0331914893617021,0.0334888848273432,False,False,12.31527093596059,0.6407914183031843,0.2495813635505258,0.1470588235294117,True,False,True,False,False,False,5,,False,-0.0644007155635061,True,3,TT_not_all_pass,False,False,True,False,51.94014881915238,TT_not_all_pass,total,,True,False
68700,2031.0,1949.36,1826.5,1793.4,2080.0,1670.0,1763.03,68.10093820769977,0.0966522678185746,0.1877192982456139,0.1912023460410556,0.1808139534883721,True,True,True,True,True,False,True,False,False,5.0,5.0,5,23,yf,False,1.0,1.0,0.3519624573378839,False,290000000.0,418000000.0,,418000000.0,74.0,2422.68,198.99,5607478.0,12.0,1.0,,電気機器,電機・精密,日本フェンオール,0.0364352535696701,0.0367027647437025,False,False,10.206543042363938,0.8383278022685622,0.0254636406116596,0.1420454545454545,True,False,True,False,False,False,5,,False,0.1897959183673468,True,5,TT_not_all_pass,False,False,False,False,51.550469103849885,TT_not_all_pass,total,,True,False
74200,1886.0,1907.96,1882.8866666666668,1832.905,2014.0,1373.0,1810.34,48.17211258492397,0.0272331154684095,-0.0089332632685233,0.1944268524382519,0.0758699372504279,True,True,True,True,False,True,True,False,False,5.0,5.0,5,24,yf,True,1.0,1.0,0.4772419136161147,False,1895000000.0,1278000000.0,,1278000000.0,86.0,2251.59,175.99,14353891.0,5.0,1.0,,卸売業,商社・卸売,佐鳥電機,0.0455991516436903,0.0472084260869042,False,False,10.71651798397636,0.8376302968124747,0.0699999745185317,0.4056603773584906,True,False,True,False,False,False,5,,False,0.771276595744681,True,7,TT_not_all_pass,False,False,False,False,50.58605629246199,TT_not_all_pass,total,yf_source_high_yield,True,False
67850,2755.0,2770.72,2418.806666666667,2269.33,3080.0,1351.0,2161.755,82.9828534454869,0.1290983606557376,0.2321109123434706,0.5486228218100055,0.5878962536023056,True,True,True,True,False,True,True,True,False,6.0,6.0,5,16,yf,False,1.0,1.0,0.3490706319702602,False,2413000000.0,1219000000.0,,1219000000.0,85.0,1875.64,192.37,14352857.0,6.0,1.0,div_split_adjusted,電気機器,電機・精密,鈴木,0.0308529945553539,0.0308278860135252,False,False,14.321359879399074,1.468831972020217,0.061023534824148,0.3295454545454545,True,False,True,False,False,False,6,,False,0.1147813249677062,False,2,TT_not_all_pass,False,False,False,False,50.49142672274345,TT_not_all_pass,total,,True,False
93650,1567.0,1561.198815917969,1504.7825512695313,1449.2719134521485,1637.1214599609375,1115.0,1420.750491333008,58.68650922031705,0.022845953002611,0.06093432633717,0.2367797947908445,0.2319182389937106,True,True,True,True,True,True,True,False,False,9.0,9.0,5,22,yf,False,1.0,1.0,0.2955465587044534,False,109000000.0,73000000.0,,73000000.0,50.0,3171.99,182.49,1466182.0,3.0,1.0,div_split_adjusted,倉庫･運輸関連業,運輸・物流,トレーディア,0.0319081046585832,0.0317735675390446,False,False,8.586771877911119,0.4940116456861466,0.047442724133642,0.12,True,False,True,False,False,False,5,,False,0.8426229508196721,False,4,TT_not_all_pass,False,False,True,False,48.843254610158525,TT_not_all_pass,total,,True,False
