code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags,needs_manual_history_check,needs_manual_shares_check,shares_check_reason,manual_dividend_check_reason,history_check_reason,needs_data_fill,data_fill_reason,net_shares_source,core_pass_verified,core_buyable_now_verified
85850,1007.0,1015.9784558105468,1034.067899983724,1027.355924987793,1150.0,743.0,1018.835924987793,43.40659340659341,-0.076993583868011,0.0182002022244691,0.0328205128205127,0.3480589022757698,False,True,True,False,False,True,True,False,False,9.0,True,5,10,yf,False,0.5,0.0,,True,-10686000000.0,6874000000.0,6848220800.0,6874000000.0,40.0,1397.9,81.45,171205520.0,3.0,0.75,div_split_adjusted,その他金融業,金融（除く銀行）,オリエントコーポレーション,0.039721946375372394,0.0398714742644264,False,False,12.3634131368938,0.7203662636812361,-0.0619823354654729,0.4666666666666667,True,True,False,True,False,False,3,fin_sector_excluded_from_core,False,-0.1451963241436926,False,0,TT_not_all_pass,False,False,False,False,26.203296703296704,fin_sector_excluded_from_core; data_missing:fcf_payout; TT_not_all_pass,total,False,False,0.039871474264426436,fwd,0.039721946375372394,0.039721946375372394,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
81010,2438.0,2504.52537109375,2437.0217854817706,2384.291339111328,2688.350341796875,1899.0,2340.5163391113283,56.46412411118293,-0.0193081255028158,0.0175292153589314,0.1927592954990216,0.2737722048066875,True,True,True,True,False,False,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.6442953020134228,False,,,1162813585.0,1162813585.0,95.0,,188.25,12240143.0,3.0,1.0,div_split_adjusted; shares_missing; total_div_estimated_from_dps; yield_total_fallback_dps,卸売業,商社・卸売,ＧＳＩクレオス,0.03896636587366694,0.0389663658736669,False,False,12.95086321381142,,,0.5666666666666667,True,False,True,False,False,False,5,E_div_yield,False,-0.2398725850010387,True,3,TT_not_all_pass,False,False,False,False,39.73206205559147,E_div_yield; data_missing:yield; TT_not_all_pass,dps_fallback,True,False,0.03896636587366694,fwd,0.03896636587366694,0.03896636587366694,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance,True,True
48480,1607.0,1666.36,1690.6066666666666,1697.68,1821.0,1572.0,1699.505,26.82611506140918,-0.04742145820984,-0.0727062896710906,-0.0061842918985776,0.0151610865445357,False,False,False,False,False,False,True,False,False,10.0,True,5,10,yf,False,1.0,0.6666666666666666,0.581588093752785,False,5288000000.0,2183000000.0,2183240038.0,2183000000.0,62.0,812.65,155.99,35213549.0,12.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,フルキャストホールディングス,0.038581207218419414,0.0385769653780092,False,False,10.301942432207191,1.9774810804159235,0.0934470879152143,0.2222222222222222,True,False,True,False,False,False,1,,False,-0.2539265337521637,True,3,TT_not_all_pass,False,False,False,False,27.41305753070459,OK,total,False,False,0.03857696537800924,fwd,0.038581207218419414,0.038581207218419414,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
36820,652.0,662.5056018066406,654.3997029622395,643.0797772216797,722.0,597.0,638.0097772216797,39.81900452488688,-0.0957004160887655,0.065359477124183,0.0688524590163934,0.0957983193277312,False,True,True,True,False,False,True,False,False,8.0,True,5,10,yf,False,1.0,1.0,0.5171821305841925,False,84000000.0,167000000.0,166529200.0,167000000.0,25.0,527.39,33.07,6661168.0,3.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,エンカレッジ・テクノロジ,0.03834355828220859,0.0384519605758559,False,False,19.715754460235864,1.2362767591346062,0.0193411059183946,0.703125,True,False,True,False,False,False,4,,False,-0.294260700389105,True,3,TT_not_all_pass,False,False,False,False,32.90950226244344,OK,total,True,False,0.038451960575855974,fwd,0.03834355828220859,0.03834355828220859,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
24490,1070.0,1083.56,1097.506666666667,1091.58,1206.0,947.0,1082.655,33.775048480930835,-0.0463458110516934,-0.0420769919427036,0.0288461538461537,0.1134235171696149,False,True,True,False,False,False,True,False,False,10.0,True,5,10,yf,False,1.0,1.0,0.485054347826087,False,282000000.0,181000000.0,181996212.0,181000000.0,41.0,1208.2,107.45,4438932.0,8.0,1.0,,サービス業,情報通信・サービスその他,プラップジャパン,0.038317757009345796,0.0381080130321151,False,False,9.958120055839926,0.8856149644098659,0.0593727053870523,0.1865079365079365,True,False,True,False,False,False,2,,False,0.6298245614035086,False,4,TT_not_all_pass,False,False,True,False,36.88752424046542,OK,total,False,False,0.03810801303211513,fwd,0.038317757009345796,0.038317757009345796,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
21360,1416.0,1481.41966796875,1506.4976904296875,1456.5382678222657,1661.0,981.0,1430.3132678222655,41.43503555268261,-0.1291512915129151,-0.0528428093645485,0.1721854304635761,0.4259818731117823,False,True,True,False,False,True,True,False,False,9.0,True,5,10,yf,False,1.0,1.0,0.6026785714285714,False,122000000.0,209000000.0,209800314.0,209000000.0,54.0,1024.37,105.73,3885191.0,3.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,ヒップ,0.038135593220338986,0.0379901194192247,False,False,13.39260380213752,1.3823130314241925,0.0221760505700737,0.3888888888888889,True,False,True,False,False,False,4,,False,-0.0816208727776495,False,0,TT_not_all_pass,False,False,False,False,25.217517776341307,OK,total,True,False,0.037990119419224734,fwd,0.038135593220338986,0.038135593220338986,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
94500,708.0,705.52,695.4,700.02,1030.0,658.0,700.605,35.26179702650291,0.0520059435364042,-0.0070126227208976,0.018705035971223,-0.3119533527696793,True,False,False,True,True,False,False,False,False,5.0,True,5,6,yf,False,1.0,1.0,0.43017578125,False,1592000000.0,527000000.0,543277611.0,527000000.0,27.0,320.34,65.2,20121393.0,6.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,ファイバーゲート,0.038135593220338986,0.0369929796851478,False,False,10.858895705521473,2.210151713804083,0.1117510885365376,0.1875,True,False,True,False,False,False,3,,False,-0.0679738562091503,,0,TT_not_all_pass,False,False,False,False,20.130898513251456,OK,total,False,False,0.03699297968514783,fwd,0.038135593220338986,0.038135593220338986,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
20090,1079.0,1094.64,1087.5466666666666,1052.91,1166.0,849.0,1035.995,57.14285714285714,0.0276190476190476,-0.0137111517367458,0.1896361631753031,0.2205882352941177,False,True,True,True,False,False,True,False,False,10.0,True,5,10,yf,False,1.0,1.0,0.6022877254729433,False,1530000000.0,968000000.0,954479508.0,968000000.0,41.0,1542.32,40.81,23279988.0,12.0,1.0,,食料品,食品,鳥越製粉,0.037998146431881374,0.0385364017118963,False,False,26.439598137711343,0.6995954146999326,0.0609098084909105,0.7653061224489796,True,False,True,False,False,False,5,,False,0.1572996341868971,False,2,TT_not_all_pass,False,False,False,False,39.57142857142857,OK,total,True,False,0.03853640171189633,fwd,0.037998146431881374,0.037998146431881374,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
52010,5574.0,5871.9,5467.8,5240.105,6930.0,4193.0,5097.155,69.48933419521654,-0.0035752592062924,0.1499896843408295,0.3143126621079934,0.2980903586399628,True,True,True,True,False,True,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.6198018893882418,False,96072000000.0,44595000000.0,44596477590.0,44595000000.0,210.0,7003.63,326.2,212364179.0,12.0,1.0,div_split_adjusted,ガラス･土石製品,建設・資材,ＡＧＣ,0.03767491926803014,0.0376736710061276,False,False,17.08767627222563,0.7958729972885489,0.0811612270635877,0.6842105263157895,True,False,True,False,False,False,5,,False,1.735164859931036,True,7,TT_not_all_pass,False,False,False,False,58.24466709760827,OK,total,True,False,0.03767367100612764,fwd,0.03767491926803014,0.03767491926803014,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
78410,1094.0,1155.5,1212.506666666667,1204.59,1364.0,1018.0,1200.055,12.605042016806722,-0.1493001555209953,-0.1493001555209953,-0.0054545454545454,-0.1331220285261489,False,True,True,False,False,False,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.3325859491778774,False,443000000.0,357000000.0,350996880.0,357000000.0,40.0,2530.14,127.74,8774922.0,12.0,1.0,,その他製品,情報通信・サービスその他,遠藤製作所,0.03656307129798903,0.0371884116274255,False,False,8.564271175825896,0.4323871406325342,0.046146964568486,0.2777777777777778,True,False,True,False,False,False,2,,False,-0.4329105996555503,True,3,TT_not_all_pass,False,False,False,False,17.80252100840336,OK,total,False,False,0.03718841162742553,fwd,0.03656307129798903,0.03656307129798903,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
47520,1540.0,1566.492607421875,1608.392840983073,1583.1096307373048,1750.0,1356.0,1568.7946307373047,36.199095022624434,-0.0464396284829721,-0.0440720049658597,0.0547945205479452,0.1492537313432835,False,True,True,False,False,False,True,False,False,9.0,True,5,10,yf,False,1.0,1.0,0.4311663479923518,False,284000000.0,235000000.0,235465395.0,235000000.0,55.0,1247.94,165.13,4281189.0,3.0,1.0,,情報･通信業,情報通信・サービスその他,昭和システムエンジニアリング,0.03571428571428571,0.0356436967854964,False,False,9.325985587113184,1.234033687517028,0.043075786753536,0.10546875,True,False,True,False,False,False,2,,False,0.1372393472348141,False,2,TT_not_all_pass,False,False,False,False,28.599547511312217,OK,total,False,False,0.03564369678549641,fwd,0.03571428571428571,0.03571428571428571,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,False
69270,1150.0,1204.2596459960937,1067.3235026041666,1011.692626953125,1314.62158203125,812.0,984.877626953125,80.63994828700712,0.1132623426911907,0.3310185185185186,0.3922518159806296,0.3625592417061611,True,True,True,True,False,True,True,True,False,6.0,True,5,10,yf,False,1.0,1.0,0.2868136439267887,False,869000000.0,744000000.0,744058775.0,744000000.0,41.0,887.54,40.13,18147775.0,3.0,1.0,,電気機器,電機・精密,ヘリオス　テクノ　ホールディング,0.035652173913043476,0.035649357661704,False,False,28.656865188138543,1.2957162494084775,0.0416388330752967,0.6742857142857143,True,False,True,False,False,False,6,,False,3.012205754141238,True,7,TT_not_all_pass,False,False,False,False,64.31997414350356,OK,total,True,False,0.035649357661704004,fwd,0.035652173913043476,0.035652173913043476,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
