code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason
62090,3735.0,3829.3524560546875,3442.776650390625,3205.7524877929686,4428.81982421875,1949.0,3063.9227734375,78.8417987706244,0.05508474576271194,0.18759936406995226,0.613390928725702,0.40890230101848357,True,True,True,True,False,True,True,True,False,0.0,0.0,5,3,yf,True,1.0,1.0,0.3560625814863103,False,10392000000.0,3493000000.0,,3493000000.0,130.0,5402.44,323.32,26868885.0,3.0,1.0,div_history_short,機械,機械,リケンＮＰＲ,0.03480589022757698,0.034806338136222616,False,False,11.552022763825313,0.6913542769563383,0.10355209444936313,0.25157232704402516,True,False,False,False,True,False,6,A_non_cut_years,False,0.7930627818244885,True,7,TT_not_all_pass,False,False,False,True,60.4208993853122,A_non_cut_years; TT_not_all_pass
71200,862.0,882.60890625,864.538125,840.8345937500001,966.0,646.7,827.0592031250001,40.73115496603041,-0.10301768990634752,0.05766871165644161,0.13525615698669835,0.2197537851988114,False,True,True,True,False,True,True,False,False,0.0,0.0,5,4,yf,True,1.0,1.0,0.20680272108843537,False,,,,,97.0,,293.89,,3.0,1.0,shares_missing; div_split_adjusted; div_history_short,卸売業,商社・卸売,ＳＨＩＮＫＯ,0.11252900232018562,,False,False,2.933070196331961,,,0.018867924528301886,True,False,False,False,True,False,5,A_non_cut_years,False,-0.9268977176669484,True,3,TT_not_all_pass,False,False,False,False,29.365577483015205,A_non_cut_years; TT_not_all_pass; data_missing:yield_total
55330,1942.0,1986.18,1954.5333333333333,1900.92,2075.0,1619.0,1873.97,40.795858945325136,0.022105263157894628,-0.026566416040100238,0.10971428571428565,,False,True,True,True,False,False,True,False,False,1.0,1.0,5,3,yf,True,1.0,1.0,0.48013245033112584,False,656000000.0,236000000.0,,236000000.0,68.0,1528.06,202.07,3475600.0,9.0,1.0,div_history_short,不動産業,不動産,エリッツホールディングス,0.035015447991761074,0.034964956224467436,False,False,9.610531004107488,1.2708925042210384,0.09719072577648574,0.34523809523809523,True,False,False,False,True,False,4,A_non_cut_years,False,0.06712082805238688,False,1,TT_not_all_pass,False,False,False,False,23.897929472662568,A_non_cut_years; TT_not_all_pass
93410,577.0,570.0508227539062,597.5840055338541,624.9980041503907,1065.0,548.0,643.9120581054688,8.70268521514073,-0.017035775127768327,-0.1697841726618705,-0.20523415977961434,-0.43816942551119764,False,False,False,False,True,False,False,False,False,1.0,1.0,5,2,yf,True,1.0,1.0,0.1960710238005289,False,919000000.0,519000000.0,,519000000.0,30.0,378.77,79.78,17306532.0,3.0,1.0,div_history_short,サービス業,情報通信・サービスその他,ＧＥＮＯＶＡ,0.05199306759098787,0.051973443860623844,False,False,7.232389069942341,1.5233519022097843,0.09203004799212584,0.072,True,False,False,False,True,False,0,A_non_cut_years,False,,,0,TT_not_all_pass,False,False,False,False,7.851342607570365,A_non_cut_years; TT_not_all_pass
