code,Name,yield_basis,effective_yield,dividend_yield_total_actual,dividend_yield_total_fwd,dividend_yield_fwd_total,dividend_yield_fwd,non_cut_years_verified,fcf_payout_3y,drop_reason_core,drop_reason_satellite,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,satellite_pass,in_holdings
89080,毎日コムネット,none,,,,0.0355555555555555,0.0355555555555555,7.0,0.3934311670160726,D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
29350,ピックルスホールディングス,none,,,,0.023462783171521,0.023462783171521,0.0,0.3512443438914027,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_history_short; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
55330,エリッツホールディングス,dps_fallback,0.03288201160541586,0.0328345962223964,0.03288201160541586,0.0328345962223964,0.0328820116054158,1.0,0.4801324503311258,A_non_cut_years,TT_not_all_pass,div_history_short,,yf,False,False,False,False,False,False
26590,サンエー,none,,,,0.0177133655394524,0.0177133655394524,1.0,0.5631333257429124,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_below_2pct,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
94240,日本通信,dps_fallback,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,div_history_short,,jquants,False,False,False,False,False,False
82140,ＡＯＫＩホールディングス,none,,,,0.0412995594713656,0.0412995594713656,4.0,0.4771884693954755,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
97650,オオバ,none,,,,0.0342019543973941,0.0342019543973941,5.0,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
94410,ベルパーク,none,,,,0.0281475846329402,0.0281475846329402,3.0,,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
68190,伊豆シャボテンリゾート,none,,,,0.0301204819277108,0.0301204819277108,1.0,0.436606291706387,A_non_cut_years; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_history_short; yield_total_fallback_dps,yield_total_fallback_dps,jquants,False,False,False,False,False,False
54640,モリ工業,none,,,,0.2056807051909892,0.2056807051909892,0.0,7.506976744186047,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False,False
78790,ノダ,dps_fallback,0.060455192034139404,0.06042215565265891,0.060455192034139404,0.0604221556526589,0.0604551920341394,0.0,1.856115107913669,A_non_cut_years; D_fcf_payout,TT_not_all_pass,,high_yield_risk; yf_source_high_yield,yf,True,False,False,False,False,False
36330,ＧＭＯペパボ,none,,,,0.0468521229868228,0.0468521229868228,2.0,0.326797385620915,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False,False
69230,スタンレー電気,none,,,,0.0278787878787878,0.0278787878787878,5.0,0.5581388834421133,E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
40250,多木化学,none,,,,0.0192307692307692,0.0192307692307692,6.0,0.1706959706959707,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass; yield_below_2pct,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
43430,イオンファンタジー,none,,,,0.0019033117624666,0.0019033117624666,3.0,0.0655518394648829,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_below_2pct,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
29380,オカムラ食品工業,actual,0.005163257120153887,0.005163257120153887,,0.0051632571201538,,0.0,0.3765312701482914,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,TT_not_all_pass; yield_unknown,div_split_adjusted; div_history_short,,yf,False,False,False,False,False,False
27530,あみやき亭,none,,,,0.0229885057471264,0.0229885057471264,0.0,0.25234996384671,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
64300,ダイコク電機,dps_fallback,0.04460966542750929,0.045562437341172504,0.04460966542750929,0.0455624373411725,0.0446096654275092,0.0,0.5299477221807319,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail,TT_not_all_pass,,yf_source_high_yield,yf,False,False,False,False,False,False
34860,グローバル・リンク・マネジメント,none,,,,0.0320247933884297,0.0320247933884297,0.0,0.1724493623405851,A_non_cut_years; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
