code,Name,net_shares_source,shares_check_reason,data_quality_flags,effective_yield
36550,ブレインパッド,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short; yield_total_fallback_dps,
85580,東和銀行,missing,shares_missing,shares_missing; div_split_adjusted,
31050,日清紡ホールディングス,missing,shares_missing,shares_missing,
70040,カナデビア,missing,shares_missing,shares_missing; div_split_adjusted,
90670,丸運,missing,shares_missing,shares_missing,
70440,ピアラ,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
62660,タツモ,missing,shares_missing,shares_missing; div_split_adjusted,
62170,津田駒工業,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
79220,三光産業,missing,shares_missing,shares_missing,
68380,多摩川ホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
63150,ＴＯＷＡ,missing,shares_missing,shares_missing; div_split_adjusted,
19800,ダイダン,missing,shares_missing,shares_missing; div_split_adjusted,
77180,スター精密,missing,shares_missing,shares_missing; div_split_adjusted,
46590,エイジス,missing,shares_missing,shares_missing; div_split_adjusted,
69980,日本タングステン,missing,shares_missing,shares_missing; div_split_adjusted,
63660,千代田化工建設,missing,shares_missing,shares_missing,
77800,メニコン,missing,shares_missing,shares_missing; div_split_adjusted,
62380,フリュー,missing,shares_missing,shares_missing; div_split_adjusted,
69620,大真空,missing,shares_missing,shares_missing; div_split_adjusted,
95370,北陸瓦斯,missing,shares_missing,shares_missing; div_split_adjusted,
45780,大塚ホールディングス,missing,shares_missing,shares_missing,
94760,中央経済社ホールディングス,missing,shares_missing,shares_missing,
77190,東京衡機,missing,shares_missing,shares_missing; div_history_short,
40820,第一稀元素化学工業,missing,shares_missing,shares_missing; div_split_adjusted,
41090,ステラ　ケミファ,missing,shares_missing,shares_missing,
24370,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,missing,shares_missing,shares_missing; div_split_adjusted,
68750,メガチップス,missing,shares_missing,shares_missing,
94080,ＢＳＮメディアホールディングス,missing,shares_missing,shares_missing,
41860,東京応化工業,missing,shares_missing,shares_missing; div_split_adjusted,
46200,藤倉化成,missing,shares_missing,shares_missing,
83610,大垣共立銀行,missing,shares_missing,shares_missing; div_split_adjusted,
92160,ビーウィズ,missing,shares_missing,shares_missing; div_history_short,
48400,トライアイズ,missing,shares_missing,shares_missing; div_split_adjusted,
31920,白鳩,missing,shares_missing,shares_missing; div_history_short,
65160,山洋電気,missing,shares_missing,shares_missing; div_split_adjusted,
77250,インターアクション,missing,shares_missing,shares_missing; div_split_adjusted,
19610,三機工業,missing,shares_missing,shares_missing; div_split_adjusted,
40080,住友精化,missing,shares_missing,shares_missing; div_split_adjusted,
17230,日本電技,missing,shares_missing,shares_missing; div_split_adjusted,
83870,四国銀行,missing,shares_missing,shares_missing; div_split_adjusted,
31860,ネクステージ,missing,shares_missing,shares_missing; div_split_adjusted,
63240,ハーモニック・ドライブ・システムズ,missing,shares_missing,shares_missing; div_split_adjusted,
60930,エスクロー・エージェント・ジャパン,missing,shares_missing,shares_missing; div_split_adjusted,
17760,三井住建道路,missing,shares_missing,shares_missing; div_split_adjusted,
39970,トレードワークス,missing,shares_missing,shares_missing; div_split_adjusted,
60180,阪神内燃機工業,missing,shares_missing,shares_missing; div_split_adjusted,
34650,ケイアイスター不動産,missing,shares_missing,shares_missing; div_split_adjusted,
57240,アサカ理研,missing,shares_missing,shares_missing; div_split_adjusted,
71620,アストマックス,missing,shares_missing,shares_missing; div_split_adjusted,
16620,石油資源開発,missing,shares_missing,shares_missing; div_split_adjusted,
40470,関東電化工業,missing,shares_missing,shares_missing,
19600,サンテック,missing,shares_missing,shares_missing,
85220,名古屋銀行,missing,shares_missing,shares_missing; div_split_adjusted,
22860,林兼産業,missing,shares_missing,shares_missing; div_split_adjusted,
41820,三菱瓦斯化学,missing,shares_missing,shares_missing; div_split_adjusted,
61780,日本郵政,missing,shares_missing,shares_missing,
49730,日本高純度化学,missing,shares_missing,shares_missing; div_split_adjusted,
57410,ＵＡＣＪ,missing,shares_missing,shares_missing; div_split_adjusted,
63630,酉島製作所,missing,shares_missing,shares_missing,
95190,レノバ,missing,shares_missing,shares_missing; div_history_short,
63610,荏原製作所,missing,shares_missing,shares_missing; div_split_adjusted,
64940,ＮＦＫホールディングス,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
93010,三菱倉庫,missing,shares_missing,shares_missing; div_split_adjusted,
65080,明電舎,missing,shares_missing,shares_missing; div_split_adjusted,
19410,中電工,missing,shares_missing,shares_missing,
68440,新電元工業,missing,shares_missing,shares_missing; div_split_adjusted,
18110,錢高組,missing,shares_missing,shares_missing; div_split_adjusted,
78850,タカノ,missing,shares_missing,shares_missing,
72120,エフテック,missing,shares_missing,shares_missing,
62470,日阪製作所,missing,shares_missing,shares_missing,
86240,いちよし証券,missing,shares_missing,shares_missing,
89180,ランド,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
59150,駒井ハルテック,missing,shares_missing,shares_missing; div_split_adjusted,
30830,スターシーズ,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
46730,川崎地質,missing,shares_missing,shares_missing; div_split_adjusted,
60420,ニッキ,missing,shares_missing,shares_missing; div_split_adjusted,
87050,日産証券グループ,missing,shares_missing,shares_missing,
68220,大井電気,missing,shares_missing,shares_missing; div_split_adjusted,
24920,インフォマート,missing,shares_missing,shares_missing; div_split_adjusted; fcf_payout_extreme:18.58,
19650,テクノ菱和,missing,shares_missing,shares_missing; div_split_adjusted,
96510,日本プロセス,missing,shares_missing,shares_missing; div_split_adjusted,
80320,日本紙パルプ商事,missing,shares_missing,shares_missing; div_split_adjusted,
22070,ｍｅｉｔｏ,missing,shares_missing,shares_missing,
22920,Ｓ　Ｆｏｏｄｓ,missing,shares_missing,shares_missing,
99410,太洋物産,missing,shares_missing,shares_missing; div_history_short,
61460,ディスコ,missing,shares_missing,shares_missing; div_split_adjusted,
43600,マナック・ケミカル・パートナーズ,missing,shares_missing,shares_missing; div_history_short,
35120,日本フエルト,missing,shares_missing,shares_missing,
76980,アイスコ,missing,shares_missing,shares_missing; div_split_adjusted,
98350,ジュンテンドー,missing,shares_missing,shares_missing; div_split_adjusted,
17580,太洋基礎工業,missing,shares_missing,shares_missing; div_split_adjusted,
73810,ＣＣＩグループ,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
71800,九州フィナンシャルグループ,missing,shares_missing,shares_missing,
79110,ＴＯＰＰＡＮホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
